module,subbase_thickness_in,pavement_thickness_in,fe3_psi,axle_load_kip,wheel_load_kip,tire_pressure_psi,subbase_material,k_eff_pci,radius_relative_stiffness_in,contact_radius_in,equivalent_resisting_radius_b_in,edge_stress_psi,Mu_kip_in_per_ft,concrete_MR_psi,Re3_decimal,Re3_percent,tufstrand_dosage_lb_per_cy,Mcr_kip_in_per_ft,Mn_FRC_kip_in_per_ft,Mtotal_FRC_kip_in_per_ft,phi_FRC,phi_Mtotal_FRC_kip_in_per_ft,demand_capacity_ratio,cracking_ratio,parking_lot_area_sf,roadway_area_sf,total_area_sf,concrete_volume_cy_total,subbase_volume_cy_total,fe3_psi_for_lcc_lca_mapping,fiber_quantity_note,feasible,warnings
FRC,4,8,250,19.0,9.5,100.0,#57 stone,110.00000000000001,35.096603882957105,5.499039842323396,5.201089693986001,312.08845996263085,39.94732287521675,650.0,0.38461538461538464,38.46153846153847,6.4,83.2,32.0,115.2,1.0,115.2,0.34676495551403425,0.48013609225020126,45000.0,41000.0,86000.0,2123.456790123457,1061.7283950617284,250,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,4,8,300,19.0,9.5,100.0,#57 stone,110.00000000000001,35.096603882957105,5.499039842323396,5.201089693986001,312.08845996263085,39.94732287521675,650.0,0.46153846153846156,46.15384615384615,7.9,83.2,38.4,121.6,1.0,121.6,0.3285141683817167,0.48013609225020126,45000.0,41000.0,86000.0,2123.456790123457,1061.7283950617284,300,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,4,8,350,19.0,9.5,100.0,#57 stone,110.00000000000001,35.096603882957105,5.499039842323396,5.201089693986001,312.08845996263085,39.94732287521675,650.0,0.5384615384615384,53.84615384615385,9.4,83.2,44.8,128.0,1.0,128.0,0.31208845996263085,0.48013609225020126,45000.0,41000.0,86000.0,2123.456790123457,1061.7283950617284,350,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,4,8,400,19.0,9.5,100.0,#57 stone,110.00000000000001,35.096603882957105,5.499039842323396,5.201089693986001,312.08845996263085,39.94732287521675,650.0,0.6153846153846154,61.53846153846154,10.9,83.2,51.2,134.4,1.0,134.4,0.2972271047263151,0.48013609225020126,45000.0,41000.0,86000.0,2123.456790123457,1061.7283950617284,400,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,4,10,100,19.0,9.5,100.0,#57 stone,110.00000000000001,41.4903982835187,5.499039842323396,5.431260308356283,211.44715282288252,42.2894305645765,650.0,0.15384615384615385,15.384615384615385,3.0,130.0,20.0,150.0,1.0,150.0,0.28192953709717666,0.32530331203520385,45000.0,41000.0,86000.0,2654.320987654321,1061.7283950617284,100,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,4,10,150,19.0,9.5,100.0,#57 stone,110.00000000000001,41.4903982835187,5.499039842323396,5.431260308356283,211.44715282288252,42.2894305645765,650.0,0.23076923076923078,23.076923076923077,3.4,130.0,30.0,160.0,1.0,160.0,0.26430894102860314,0.32530331203520385,45000.0,41000.0,86000.0,2654.320987654321,1061.7283950617284,150,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,4,10,200,19.0,9.5,100.0,#57 stone,110.00000000000001,41.4903982835187,5.499039842323396,5.431260308356283,211.44715282288252,42.2894305645765,650.0,0.3076923076923077,30.76923076923077,4.9,130.0,40.0,170.0,1.0,170.0,0.2487613562622147,0.32530331203520385,45000.0,41000.0,86000.0,2654.320987654321,1061.7283950617284,200,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,4,10,250,19.0,9.5,100.0,#57 stone,110.00000000000001,41.4903982835187,5.499039842323396,5.431260308356283,211.44715282288252,42.2894305645765,650.0,0.38461538461538464,38.46153846153847,6.4,130.0,50.0,180.0,1.0,180.0,0.23494128091431388,0.32530331203520385,45000.0,41000.0,86000.0,2654.320987654321,1061.7283950617284,250,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,4,10,300,19.0,9.5,100.0,#57 stone,110.00000000000001,41.4903982835187,5.499039842323396,5.431260308356283,211.44715282288252,42.2894305645765,650.0,0.46153846153846156,46.15384615384615,7.9,130.0,60.0,190.0,1.0,190.0,0.22257595033987632,0.32530331203520385,45000.0,41000.0,86000.0,2654.320987654321,1061.7283950617284,300,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,4,10,350,19.0,9.5,100.0,#57 stone,110.00000000000001,41.4903982835187,5.499039842323396,5.431260308356283,211.44715282288252,42.2894305645765,650.0,0.5384615384615384,53.84615384615385,9.4,130.0,70.0,200.0,1.0,200.0,0.21144715282288248,0.32530331203520385,45000.0,41000.0,86000.0,2654.320987654321,1061.7283950617284,350,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
