module,subbase_thickness_in,pavement_thickness_in,bar_size,bar_spacing_in,axle_load_kip,wheel_load_kip,tire_pressure_psi,subbase_material,k_eff_pci,radius_relative_stiffness_in,contact_radius_in,equivalent_resisting_radius_b_in,edge_stress_psi,Mu_kip_in_per_ft,As_per_ft_in2,effective_depth_in,a_in,Mn_kip_in_per_ft,phi_Mn_kip_in_per_ft,Mcr_kip_in_per_ft,demand_capacity_ratio,cracking_ratio,epsilon_t,reinforcement_directions,parking_lot_area_sf,roadway_area_sf,total_area_sf,concrete_volume_cy_total,subbase_volume_cy_total,class_a_lap_length_in,rebar_stock_length_ft,parking_lot_reinforcement_directions,roadway_reinforcement_directions,parking_lot_rebar_length_ft,roadway_rebar_length_ft,total_rebar_length_ft_with_laps,parking_lot_longitudinal_bar_count,parking_lot_transverse_bar_count,roadway_longitudinal_bar_count,roadway_transverse_bar_count,roadway_longitudinal_splices_per_bar,roadway_transverse_splices_per_bar,parking_lot_longitudinal_splices_per_bar,parking_lot_transverse_splices_per_bar,steel_weight_lb_total,steel_weight_ton_total,feasible,warnings,lcc_analysis_period_yr,lcc_end_of_service_life_yr,lcc_real_discount_rate,rsmeans_saginaw_county_location_factor,maintenance_present_worth,initial_concrete_cost,initial_57_stone_cost,initial_reinforcing_steel_cost,initial_fiber_cost,initial_construction_cost,end_of_life_concrete_tons,end_of_life_demo_cost_future,end_of_life_crushing_cost_future,end_of_life_subbase_removal_cost_future,end_of_life_recycled_aggregate_credit_future,end_of_life_net_future_cost,end_of_life_pv_factor,end_of_life_present_worth,total_present_worth,present_worth_per_sf,fe3_psi,concrete_MR_psi,Re3_decimal,Re3_percent,tufstrand_dosage_lb_per_cy,Mn_FRC_kip_in_per_ft,Mtotal_FRC_kip_in_per_ft,phi_FRC,phi_Mtotal_FRC_kip_in_per_ft,fe3_psi_for_lcc_lca_mapping,fiber_quantity_note
SRC,4,6,#4,6,19.0,9.5,100.0,#57 stone,110.00000000000001,28.285316431310303,5.499039842323396,5.136027579968186,501.5483550550628,36.111481563964524,0.4000000000000001,2.75,0.5228758169934641,59.72549019607844,53.75294117647059,46.8,0.6718047566069127,0.771612853930866,0.010016953124999999,2.0,45000.0,41000.0,86000.0,1592.5925925925926,1061.7283950617284,26.83281572999748,40.0,2.0,1.0,189193.02579202416,88725.61814095205,277918.6439329762,301.0,601.0,41.0,0.0,51.0,0.0,7.0,3.0,189139.07712105327,94.56953856052664,True,,50,50,0.03,1.0,0.0,294629.6296296296,61580.246913580246,302622.52339368523,0.0,658832.3999368951,3225.0,66888.88888888889,29025.0,19111.11111111111,19350.0,95675.0,0.22810707978975348,21824.144858884665,680656.5447957797,7.914610985997439,,,,,,,,,,,
SRC,4,6,#4,8,19.0,9.5,100.0,#57 stone,110.00000000000001,28.285316431310303,5.499039842323396,5.136027579968186,501.5483550550628,36.111481563964524,0.30000000000000004,2.75,0.39215686274509814,45.97058823529412,41.373529411764714,46.8,0.8728160753357458,0.771612853930866,0.014355937499999997,2.0,45000.0,41000.0,86000.0,1592.5925925925926,1061.7283950617284,26.83281572999748,40.0,2.0,1.0,142012.85951396188,67085.22347242717,209098.08298638905,226.0,451.0,31.0,0.0,51.0,0.0,7.0,3.0,142302.86203240367,71.15143101620184,True,,50,50,0.03,1.0,0.0,294629.6296296296,61580.246913580246,227684.5792518459,0.0,583894.4557950557,3225.0,66888.88888888889,29025.0,19111.11111111111,19350.0,95675.0,0.22810707978975348,21824.144858884665,605718.6006539403,7.043239542487679,,,,,,,,,,,
SRC,4,6,#5,6,19.0,9.5,100.0,#57 stone,110.00000000000001,28.285316431310303,5.499039842323396,5.136027579968186,501.5483550550628,36.111481563964524,0.62,2.6875,0.8104575163398693,84.90049019607844,76.41044117647058,46.8,0.47259878372596675,0.771612853930866,0.005207169858870968,2.0,45000.0,41000.0,86000.0,1592.5925925925926,1061.7283950617284,33.54101966249685,40.0,2.0,1.0,191378.78224003024,89894.52267619007,281273.3049162203,301.0,601.0,41.0,0.0,51.0,0.0,7.0,3.0,296704.27094981854,148.35213547490926,True,,50,50,0.03,1.0,0.0,294629.6296296296,61580.246913580246,474726.83351970965,0.0,830936.7100629194,3225.0,66888.88888888889,29025.0,19111.11111111111,19350.0,95675.0,0.22810707978975348,21824.144858884665,852760.854921804,9.915823894439582,,,,,,,,,,,
SRC,4,6,#5,8,19.0,9.5,100.0,#57 stone,110.00000000000001,28.285316431310303,5.499039842323396,5.136027579968186,501.5483550550628,36.111481563964524,0.46499999999999997,2.6875,0.6078431372549019,66.50183823529412,59.8516544117647,46.8,0.6033497639935964,0.771612853930866,0.007942893145161292,2.0,45000.0,41000.0,86000.0,1592.5925925925926,1061.7283950617284,33.54101966249685,40.0,2.0,1.0,143653.57439245237,67969.02934053396,211622.60373298632,226.0,451.0,31.0,0.0,51.0,0.0,7.0,3.0,223232.4549100043,111.61622745500216,True,,50,50,0.03,1.0,0.0,294629.6296296296,61580.246913580246,357171.9278560069,0.0,713381.8043992168,3225.0,66888.88888888889,29025.0,19111.11111111111,19350.0,95675.0,0.22810707978975348,21824.144858884665,735205.9492581014,8.54890638672211,,,,,,,,,,,
SRC,4,6,#5,10,19.0,9.5,100.0,#57 stone,110.00000000000001,28.285316431310303,5.499039842323396,5.136027579968186,501.5483550550628,36.111481563964524,0.372,2.6875,0.48627450980392156,54.558176470588236,49.102358823529414,46.8,0.73543272521279,0.771612853930866,0.010678616431451614,2.0,45000.0,41000.0,86000.0,1592.5925925925926,1061.7283950617284,33.54101966249685,40.0,2.0,1.0,115018.44968390564,54813.733339140286,169832.18302304592,181.0,361.0,25.0,0.0,51.0,0.0,7.0,3.0,179149.36528611582,89.57468264305791,True,,50,50,0.03,1.0,0.0,294629.6296296296,61580.246913580246,286638.9844577853,0.0,642848.8610009952,3225.0,66888.88888888889,29025.0,19111.11111111111,19350.0,95675.0,0.22810707978975348,21824.144858884665,664673.0058598798,7.728755882091625,,,,,,,,,,,
SRC,4,6,#5,12,19.0,9.5,100.0,#57 stone,110.00000000000001,28.285316431310303,5.499039842323396,5.136027579968186,501.5483550550628,36.111481563964524,0.31,2.6875,0.40522875816993464,46.2188725490196,41.596985294117644,46.8,0.8681273729005347,0.771612853930866,0.013414339717741934,2.0,45000.0,41000.0,86000.0,1592.5925925925926,1061.7283950617284,33.54101966249685,40.0,2.0,1.0,95928.36654487449,46043.53600487784,141971.90254975233,151.0,301.0,21.0,0.0,51.0,0.0,7.0,3.0,149760.63887019013,74.88031943509506,True,,50,50,0.03,1.0,0.0,294629.6296296296,61580.246913580246,239617.0221923042,0.0,595826.898735514,3225.0,66888.88888888889,29025.0,19111.11111111111,19350.0,95675.0,0.22810707978975348,21824.144858884665,617651.0435943987,7.181988879004636,,,,,,,,,,,
SRC,4,6,#6,6,19.0,9.5,100.0,#57 stone,110.00000000000001,28.285316431310303,5.499039842323396,5.136027579968186,501.5483550550628,36.111481563964524,0.88,2.625,1.1503267973856208,108.23137254901962,97.40823529411766,46.8,0.37072308573221063,0.771612853930866,0.0026478515625000007,2.0,45000.0,41000.0,86000.0,1592.5925925925926,1061.7283950617284,40.249223594996224,40.0,2.0,1.0,193564.53868803626,91063.42721142809,284627.9658994643,301.0,601.0,41.0,0.0,51.0,0.0,7.0,3.0,426151.31561058684,213.07565780529342,True,Section may not be tension-controlled; phi = 0.90 should be reviewed.,50,50,0.03,1.0,0.0,294629.6296296296,61580.246913580246,681842.1049769389,0.0,1038051.9815201487,3225.0,66888.88888888889,29025.0,19111.11111111111,19350.0,95675.0,0.22810707978975348,21824.144858884665,1059876.1263790333,12.324141004407364,,,,,,,,,,,
SRC,4,6,#6,8,19.0,9.5,100.0,#57 stone,110.00000000000001,28.285316431310303,5.499039842323396,5.136027579968186,501.5483550550628,36.111481563964524,0.66,2.625,0.8627450980392157,86.86764705882352,78.18088235294117,46.8,0.4618965721177488,0.771612853930866,0.00453046875,2.0,45000.0,41000.0,86000.0,1592.5925925925926,1061.7283950617284,40.249223594996224,40.0,2.0,1.0,145294.28927094283,68852.83520864075,214147.12447958358,226.0,451.0,31.0,0.0,51.0,0.0,7.0,3.0,320625.833595821,160.3129167979105,True,Section may not be tension-controlled; phi = 0.90 should be reviewed.,50,50,0.03,1.0,0.0,294629.6296296296,61580.246913580246,513001.33375331364,0.0,869211.2102965235,3225.0,66888.88888888889,29025.0,19111.11111111111,19350.0,95675.0,0.22810707978975348,21824.144858884665,891035.3551554081,10.360876222737303,,,,,,,,,,,
SRC,4,6,#6,10,19.0,9.5,100.0,#57 stone,110.00000000000001,28.285316431310303,5.499039842323396,5.136027579968186,501.5483550550628,36.111481563964524,0.528,2.625,0.6901960784313725,72.22729411764705,65.00456470588234,46.8,0.5555222425894769,0.771612853930866,0.0064130859375,2.0,45000.0,41000.0,86000.0,1592.5925925925926,1061.7283950617284,40.249223594996224,40.0,2.0,1.0,116332.13962068676,55526.48000696835,171858.6196276551,181.0,361.0,25.0,0.0,51.0,0.0,7.0,3.0,257310.54438696138,128.6552721934807,True,,50,50,0.03,1.0,0.0,294629.6296296296,61580.246913580246,411696.87101913826,0.0,767906.7475623481,3225.0,66888.88888888889,29025.0,19111.11111111111,19350.0,95675.0,0.22810707978975348,21824.144858884665,789730.8924212328,9.182917353735265,,,,,,,,,,,
SRC,4,6,#6,12,19.0,9.5,100.0,#57 stone,110.00000000000001,28.285316431310303,5.499039842323396,5.136027579968186,501.5483550550628,36.111481563964524,0.44,2.625,0.5751633986928104,61.707843137254905,55.537058823529414,46.8,0.6502231542132936,0.771612853930866,0.008295703125000001,2.0,45000.0,41000.0,86000.0,1592.5925925925926,1061.7283950617284,40.249223594996224,40.0,2.0,1.0,97024.03985384939,46642.24320585341,143666.2830597028,151.0,301.0,21.0,0.0,51.0,0.0,7.0,3.0,215100.35158105503,107.55017579052752,True,,50,50,0.03,1.0,0.0,294629.6296296296,61580.246913580246,344160.56252968806,0.0,700370.4390728979,3225.0,66888.88888888889,29025.0,19111.11111111111,19350.0,95675.0,0.22810707978975348,21824.144858884665,722194.5839317825,8.39761144106724,,,,,,,,,,,
SRC,4,6,#6,15,19.0,9.5,100.0,#57 stone,110.00000000000001,28.285316431310303,5.499039842323396,5.136027579968186,501.5483550550628,36.111481563964524,0.35200000000000004,2.625,0.46013071895424845,50.581019607843146,45.52291764705883,46.8,0.7932593829758104,0.771612853930866,0.011119628906249995,2.0,45000.0,41000.0,86000.0,1592.5925925925926,1061.7283950617284,40.249223594996224,40.0,2.0,1.0,77715.94008701202,37758.00640473847,115473.94649175048,121.0,241.0,17.0,0.0,51.0,0.0,7.0,3.0,172890.15877514865,86.44507938757432,True,,50,50,0.03,1.0,0.0,294629.6296296296,61580.246913580246,276624.25404023787,0.0,632834.1305834476,3225.0,66888.88888888889,29025.0,19111.11111111111,19350.0,95675.0,0.22810707978975348,21824.144858884665,654658.2754423323,7.6123055283992125,,,,,,,,,,,
SRC,4,6,#6,18,19.0,9.5,100.0,#57 stone,110.00000000000001,28.285316431310303,5.499039842323396,5.136027579968186,501.5483550550628,36.111481563964524,0.29333333333333333,2.625,0.38344226579520696,42.82570806100218,38.543137254901964,46.8,0.9369108001028593,0.771612853930866,0.013943554687499998,2.0,45000.0,41000.0,86000.0,1592.5925925925926,1061.7283950617284,40.249223594996224,40.0,2.0,1.0,64843.87357578709,33315.88800418101,98159.7615799681,101.0,201.0,15.0,0.0,51.0,0.0,7.0,3.0,146966.97636556334,73.48348818278167,True,,50,50,0.03,1.0,0.0,294629.6296296296,61580.246913580246,235147.16218490133,0.0,591357.0387281112,3225.0,66888.88888888889,29025.0,19111.11111111111,19350.0,95675.0,0.22810707978975348,21824.144858884665,613181.1835869958,7.130013762639487,,,,,,,,,,,
SRC,4,8,#3,6,19.0,9.5,100.0,#57 stone,110.00000000000001,35.096603882957105,5.499039842323396,5.201089693986001,312.08845996263085,39.94732287521675,0.22,4.8125,0.2875816993464052,61.62696078431372,55.46426470588235,83.2,0.7202353278647192,0.48013609225020126,0.038417578125,2.0,45000.0,41000.0,86000.0,2123.456790123457,1061.7283950617284,20.124611797498112,40.0,2.0,1.0,187007.26934401813,87556.71360571406,274563.9829497322,301.0,601.0,41.0,0.0,51.0,0.0,7.0,3.0,102770.82417354561,51.3854120867728,True,,50,50,0.03,1.0,0.0,392839.5061728395,61580.246913580246,164433.31867767297,0.0,618853.0717640927,4300.0,89185.18518518518,38700.0,19111.11111111111,25800.0,121196.29629629629,0.22810707978975348,27645.733229481863,646498.8049935745,7.517427965041564,,,,,,,,,,,
SRC,4,8,#3,8,19.0,9.5,100.0,#57 stone,110.00000000000001,35.096603882957105,5.499039842323396,5.201089693986001,312.08845996263085,39.94732287521675,0.165,4.8125,0.21568627450980393,46.57610294117647,41.918492647058834,83.2,0.9529761294510577,0.48013609225020126,0.052223437500000004,2.0,45000.0,41000.0,86000.0,2123.456790123457,1061.7283950617284,20.124611797498112,40.0,2.0,1.0,140372.1446354714,66201.41760432038,206573.5622397918,226.0,451.0,31.0,0.0,51.0,0.0,7.0,3.0,77321.63197725541,38.660815988627704,True,,50,50,0.03,1.0,0.0,392839.5061728395,61580.246913580246,123714.61116360866,0.0,578134.3642500284,4300.0,89185.18518518518,38700.0,19111.11111111111,25800.0,121196.29629629629,0.22810707978975348,27645.733229481863,605780.0974795102,7.043954621854771,,,,,,,,,,,
