alternative_id,module,subbase_thickness_in,pavement_thickness_in,bar_size,bar_spacing_in,fe3_psi,n_simulations,random_seed,total_present_worth_mean,total_present_worth_std,total_present_worth_p05,total_present_worth_p50,total_present_worth_p95,total_present_worth_min,total_present_worth_max,gwp_total_project_kgco2e_mean,gwp_total_project_kgco2e_std,gwp_total_project_kgco2e_p05,gwp_total_project_kgco2e_p50,gwp_total_project_kgco2e_p95,gwp_total_project_kgco2e_min,gwp_total_project_kgco2e_max,demand_capacity_ratio_k_mean,demand_capacity_ratio_k_std,demand_capacity_ratio_k_p05,demand_capacity_ratio_k_p50,demand_capacity_ratio_k_p95,demand_capacity_ratio_k_min,demand_capacity_ratio_k_max
12,SRC,4,6,#6,18.0,nan,50000,42,625973.3527303723,48368.25704857452,546110.7779169785,625872.90190125,705416.8138611792,491457.61955544446,789086.806586372,648165.5060244801,51566.66967906485,570128.4662964978,644494.0007359327,739183.3294191661,536732.398872485,811998.3392127914,0.9249372114708574,0.024195369397954965,0.8903482717474142,0.9227572669010176,0.9661143862182339,0.8872588352456963,0.9721394500087296
13,SRC,4,8,#3,6.0,nan,50000,42,661996.614138923,55699.543442365626,572723.3942593158,662245.7076514362,751396.865353485,515901.68904669775,855941.5452864233,822480.3308526082,68263.89262474056,719368.2825934321,817494.0630191192,943300.8157149018,680535.4052724326,1030430.0529191724,0.711914660989854,0.01681380702662643,0.6878781708582034,0.7103997774299805,0.7405294367643699,0.6857312646338541,0.7447163643632135
14,SRC,4,8,#3,8.0,nan,50000,42,620649.7917405762,54202.2809639848,534741.3073937456,621063.8785638255,706613.7516118746,482421.3873989481,809638.9583838544,812165.0182100441,68180.30614143304,709129.29697586,807257.2682642716,932805.6777096638,671223.7101138027,1017290.3773364141,0.9419666765596411,0.022247113022177464,0.9101629029247668,0.939962265201846,0.9798281882179943,0.9073222336256914,0.9853681026085688
15,SRC,4,8,#4,6.0,nan,50000,42,802317.4851485997,63250.68765707872,697884.2004551123,802262.8666627666,906434.5101003307,629525.5376611626,1014167.2846957882,857487.9462092745,68700.20367298085,753484.1536365723,852619.7032259976,978698.0931388692,709610.8824593214,1075022.8563223903,0.40726792530480277,0.009618743199765415,0.39351727230670935,0.40640129968474564,0.42363769685374864,0.39228908290181785,0.42603292961129785
16,SRC,4,8,#4,8.0,nan,50000,42,726223.5701769697,58723.285467487025,630768.0955168538,726352.0759638947,821813.418422565,567909.0196549267,927866.6423298669,838503.8386624649,68434.45921660998,734975.8729004031,833416.1264645413,959419.5103983203,694132.3652706981,1050840.844294564,0.5352302312222429,0.012640922171872071,0.5171591661411461,0.5340913145480188,0.5567433336956094,0.5155450834738876,0.5598911410798877
17,SRC,4,8,#4,10.0,nan,50000,42,680567.2211939918,56490.50179920442,589767.881370881,680762.747646994,771719.5941832694,530939.1088511852,876737.9958266021,827113.3741343791,68308.12860310294,723862.7345928295,822071.1036305801,947926.2003654423,684717.6814856202,1036331.6370778682,0.6633256200713229,0.0156662442604978,0.6409296496066231,0.6619141291556956,0.6899874026190248,0.6389292723415708,0.6938885673201916
18,SRC,4,8,#4,12.0,nan,50000,42,650129.6552053399,55231.76939640536,561972.7283809427,650502.9969202301,738477.0730540679,506292.50164869096,842652.2314910924,819519.7311156552,68237.79588887474,716465.8983052755,814550.4445346652,940324.0353830223,677862.853970064,1026658.8322667377,0.7914856673592454,0.018693093434563567,0.7647626084375881,0.789801464615491,0.823298728869648,0.762375741585634,0.8279536311582847
19,SRC,4,8,#4,15.0,nan,50000,42,619692.089216688,54172.09429400835,533890.648478945,620112.4780776515,705617.286015906,481645.89444619656,808566.4671555826,811926.0880969315,68178.61423669435,708894.6642019615,807011.002358917,932558.9217732463,671008.0264545076,1016986.0274556072,0.9837891231202014,0.02323486420133274,0.9505732914408465,0.981695717757647,1.0233316507714099,0.94760649906023,1.0291175322214519
20,SRC,4,8,#5,6.0,nan,50000,42,977076.6260744968,76506.21634223359,850156.0408528897,977074.7354244918,1104109.370950753,771035.5356370783,1216946.5627297321,901087.3105915932,69567.37554055342,795800.93673509,896180.8968468192,1023486.3075612787,743858.3433059697,1130559.8549039224,0.275411185744611,0.006504586552053396,0.2661124332240601,0.274825138145999,0.2864810930772089,0.2652818814440077,0.2881008471823162
21,SRC,4,8,#5,8.0,nan,50000,42,857708.3527850583,67079.80555393535,746280.2993437309,857575.9912747978,968881.196392134,674377.9071886779,1078439.2883774587,871307.0037346189,68936.64297616182,767043.0774372001,866377.3631362256,992806.9680437472,720465.8028977658,1092625.6124417982,0.3587283521462128,0.008472348749750037,0.3466165486270707,0.3579650139079312,0.37314711878090034,0.34553473900258225,0.3752568795716113
22,SRC,4,8,#5,10.0,nan,50000,42,786087.3888113952,62208.64461987826,683640.7108846875,786112.0461445451,888519.977990256,616383.3301196377,995334.9237660946,853438.819620434,68637.76405903875,749479.5023299607,848572.8213646829,974630.0070290585,706430.2786528433,1069865.0669645239,0.4422776552511316,0.010445593489031008,0.42734496306424463,0.44133653240937437,0.46005461171595996,0.42601119554549594,0.46265574443957613
