alternative_id,output,parameter,spearman_rho,abs_spearman_rho,sensitivity_rank
2,gwp_total_project_kgco2e,concrete_gwp_factor,0.9905709170142124,0.9905709170142124,1
2,gwp_total_project_kgco2e,rebar_gwp_factor,0.12637499667106203,0.12637499667106203,2
2,gwp_total_project_kgco2e,trucking_gwp_factor,0.03605868777016748,0.03605868777016748,3
2,gwp_total_project_kgco2e,crushing_gwp_factor,0.020900003393192004,0.020900003393192004,4
2,gwp_total_project_kgco2e,demolition_gwp_factor,0.01703502842812601,0.01703502842812601,5
2,gwp_total_project_kgco2e,stone_57_gwp_factor,0.014035154094766062,0.014035154094766062,6
2,gwp_total_project_kgco2e,recycled_aggregate_credit,-0.006546253610426502,0.006546253610426502,7
2,gwp_total_project_kgco2e,discount_rate,-0.004992277231591396,0.004992277231591396,8
2,gwp_total_project_kgco2e,concrete_unit_cost,-0.0048744809309097924,0.0048744809309097924,9
2,gwp_total_project_kgco2e,fiber_unit_cost,0.004334021713925608,0.004334021713925608,10
2,gwp_total_project_kgco2e,rebar_unit_cost,0.001936814994534726,0.001936814994534726,11
2,gwp_total_project_kgco2e,stone_57_unit_cost,-0.0009681977982752793,0.0009681977982752793,12
2,gwp_total_project_kgco2e,demolition_cost,0.0006171591789668637,0.0006171591789668637,13
2,gwp_total_project_kgco2e,crushing_cost,-9.847537386339015e-05,9.847537386339015e-05,14
2,total_present_worth,concrete_unit_cost,0.7757196340955679,0.7757196340955679,1
2,total_present_worth,rebar_unit_cost,0.5483102501592602,0.5483102501592602,2
2,total_present_worth,discount_rate,-0.19163934619945047,0.19163934619945047,3
2,total_present_worth,stone_57_unit_cost,0.1799984787387834,0.1799984787387834,4
2,total_present_worth,demolition_cost,0.045399464113647786,0.045399464113647786,5
2,total_present_worth,crushing_cost,0.03937846641898339,0.03937846641898339,6
2,total_present_worth,recycled_aggregate_credit,-0.02727247131884499,0.02727247131884499,7
2,total_present_worth,stone_57_gwp_factor,-0.0059999146778879665,0.0059999146778879665,8
2,total_present_worth,demolition_gwp_factor,0.005757747725183099,0.005757747725183099,9
2,total_present_worth,crushing_gwp_factor,0.004387239801530897,0.004387239801530897,10
2,total_present_worth,rebar_gwp_factor,-0.0029180076580952036,0.0029180076580952036,11
2,total_present_worth,fiber_unit_cost,0.0026106616699082645,0.0026106616699082645,12
2,total_present_worth,trucking_gwp_factor,-0.0024916763898606706,0.0024916763898606706,13
2,total_present_worth,concrete_gwp_factor,-0.0015009710873523886,0.0015009710873523886,14
401,gwp_total_project_kgco2e,concrete_gwp_factor,0.9991376466514632,0.9991376466514632,1
401,gwp_total_project_kgco2e,trucking_gwp_factor,0.029822032166328817,0.029822032166328817,2
401,gwp_total_project_kgco2e,crushing_gwp_factor,0.02168596928163439,0.02168596928163439,3
401,gwp_total_project_kgco2e,demolition_gwp_factor,0.017430326598780133,0.017430326598780133,4
401,gwp_total_project_kgco2e,stone_57_gwp_factor,0.014255929850438373,0.014255929850438373,5
401,gwp_total_project_kgco2e,recycled_aggregate_credit,-0.0063866458339786585,0.0063866458339786585,6
401,gwp_total_project_kgco2e,rebar_gwp_factor,0.0045109207311163696,0.0045109207311163696,7
401,gwp_total_project_kgco2e,fiber_unit_cost,0.004482324762592931,0.004482324762592931,8
401,gwp_total_project_kgco2e,discount_rate,-0.004193179764312739,0.004193179764312739,9
401,gwp_total_project_kgco2e,concrete_unit_cost,-0.003993035609917215,0.003993035609917215,10
401,gwp_total_project_kgco2e,demolition_cost,0.0018066179892026475,0.0018066179892026475,11
401,gwp_total_project_kgco2e,rebar_unit_cost,0.0017060504331944202,0.0017060504331944202,12
401,gwp_total_project_kgco2e,crushing_cost,-0.0005093220084597288,0.0005093220084597288,13
401,gwp_total_project_kgco2e,stone_57_unit_cost,0.0001892222163636889,0.0001892222163636889,14
401,total_present_worth,concrete_unit_cost,0.9352202303399763,0.9352202303399763,1
401,total_present_worth,discount_rate,-0.23032319403905507,0.23032319403905507,2
401,total_present_worth,stone_57_unit_cost,0.21526183126645676,0.21526183126645676,3
401,total_present_worth,demolition_cost,0.054794971184285994,0.054794971184285994,4
401,total_present_worth,crushing_cost,0.042913083717293236,0.042913083717293236,5
401,total_present_worth,recycled_aggregate_credit,-0.04001142627366858,0.04001142627366858,6
401,total_present_worth,rebar_unit_cost,0.00714289938343316,0.00714289938343316,7
401,total_present_worth,rebar_gwp_factor,-0.005915104027838042,0.005915104027838042,8
401,total_present_worth,demolition_gwp_factor,0.005791040039436417,0.005791040039436417,9
401,total_present_worth,stone_57_gwp_factor,-0.004861831366872733,0.004861831366872733,10
401,total_present_worth,fiber_unit_cost,0.004644799903809921,0.004644799903809921,11
401,total_present_worth,crushing_gwp_factor,0.003556602483246641,0.003556602483246641,12
401,total_present_worth,concrete_gwp_factor,-0.0022775203612310085,0.0022775203612310085,13
401,total_present_worth,trucking_gwp_factor,0.0006288461865235384,0.0006288461865235384,14
