alternative_id,output,parameter,spearman_rho,abs_spearman_rho
6,total_present_worth,rebar_unit_cost,0.5689510284096605,0.5689510284096605
6,total_present_worth,fiber_unit_cost,0.0027318202317487285,0.0027318202317487285
6,total_present_worth,demolition_cost,0.04469054387723622,0.04469054387723622
6,total_present_worth,crushing_cost,0.03891370872750149,0.03891370872750149
6,total_present_worth,recycled_aggregate_credit,-0.026500300450408125,0.026500300450408125
6,total_present_worth,discount_rate,-0.18866968776500198,0.18866968776500198
6,gwp_total_project_kgco2e,concrete_gwp_factor,0.9896944383284859,0.9896944383284859
6,gwp_total_project_kgco2e,stone_57_gwp_factor,0.015077593545295037,0.015077593545295037
6,gwp_total_project_kgco2e,rebar_gwp_factor,0.13474615877149848,0.13474615877149848
6,gwp_total_project_kgco2e,trucking_gwp_factor,0.03877482457742993,0.03877482457742993
6,gwp_total_project_kgco2e,demolition_gwp_factor,0.02216152918764861,0.02216152918764861
6,gwp_total_project_kgco2e,crushing_gwp_factor,0.025267602584187043,0.025267602584187043
6,demand_capacity_ratio_k,subgrade_k_pci,-1.0,1.0
7,total_present_worth,concrete_unit_cost,0.39630359595746545,0.39630359595746545
7,total_present_worth,stone_57_unit_cost,0.09790086184357635,0.09790086184357635
7,total_present_worth,rebar_unit_cost,0.9026402029102083,0.9026402029102083
7,total_present_worth,fiber_unit_cost,0.004918180457327272,0.004918180457327272
7,total_present_worth,demolition_cost,0.024298150965719263,0.024298150965719263
7,total_present_worth,crushing_cost,0.024073040328509217,0.024073040328509217
7,total_present_worth,recycled_aggregate_credit,-0.006973502027621401,0.006973502027621401
7,total_present_worth,discount_rate,-0.10159559085056405,0.10159559085056405
7,gwp_total_project_kgco2e,concrete_gwp_factor,0.9302268956806029,0.9302268956806029
7,gwp_total_project_kgco2e,stone_57_gwp_factor,0.014772064194004828,0.014772064194004828
7,gwp_total_project_kgco2e,rebar_gwp_factor,0.3505483782157074,0.3505483782157074
7,gwp_total_project_kgco2e,trucking_gwp_factor,0.048161497268416606,0.048161497268416606
7,gwp_total_project_kgco2e,demolition_gwp_factor,0.021086389780786557,0.021086389780786557
7,gwp_total_project_kgco2e,crushing_gwp_factor,0.022822617605001046,0.022822617605001046
7,demand_capacity_ratio_k,subgrade_k_pci,-1.0,1.0
8,total_present_worth,concrete_unit_cost,0.49403211917975687,0.49403211917975687
8,total_present_worth,stone_57_unit_cost,0.12053129465051653,0.12053129465051653
8,total_present_worth,rebar_unit_cost,0.8427346906590139,0.8427346906590139
8,total_present_worth,fiber_unit_cost,0.0044211189735764485,0.0044211189735764485
8,total_present_worth,demolition_cost,0.02998572326236229,0.02998572326236229
8,total_present_worth,crushing_cost,0.028416251151014503,0.028416251151014503
8,total_present_worth,recycled_aggregate_credit,-0.012038774030991512,0.012038774030991512
8,total_present_worth,discount_rate,-0.12636108993778922,0.12636108993778922
8,gwp_total_project_kgco2e,concrete_gwp_factor,0.9584449786748661,0.9584449786748661
8,gwp_total_project_kgco2e,stone_57_gwp_factor,0.014924539867505816,0.014924539867505816
8,gwp_total_project_kgco2e,rebar_gwp_factor,0.2722527329712371,0.2722527329712371
8,gwp_total_project_kgco2e,trucking_gwp_factor,0.04500744450408298,0.04500744450408298
8,gwp_total_project_kgco2e,demolition_gwp_factor,0.021610049700580024,0.021610049700580024
8,gwp_total_project_kgco2e,crushing_gwp_factor,0.023850346433124142,0.023850346433124142
8,demand_capacity_ratio_k,subgrade_k_pci,-1.0,1.0
9,total_present_worth,concrete_unit_cost,0.5762105645439243,0.5762105645439243
9,total_present_worth,stone_57_unit_cost,0.1389534870563494,0.1389534870563494
9,total_present_worth,rebar_unit_cost,0.7784268902181548,0.7784268902181548
9,total_present_worth,fiber_unit_cost,0.003926460031042585,0.003926460031042585
9,total_present_worth,demolition_cost,0.03468553024651422,0.03468553024651422
9,total_present_worth,crushing_cost,0.03190341561695337,0.03190341561695337
9,total_present_worth,recycled_aggregate_credit,-0.016374992515894,0.016374992515894
9,total_present_worth,discount_rate,-0.14654553629850992,0.14654553629850992
9,gwp_total_project_kgco2e,concrete_gwp_factor,0.9723342558071416,0.9723342558071416
9,gwp_total_project_kgco2e,stone_57_gwp_factor,0.014996035305742417,0.014996035305742417
9,gwp_total_project_kgco2e,rebar_gwp_factor,0.2226603061316881,0.2226603061316881
9,gwp_total_project_kgco2e,trucking_gwp_factor,0.042847147529330866,0.042847147529330866
9,gwp_total_project_kgco2e,demolition_gwp_factor,0.021848761285827505,0.021848761285827505
9,gwp_total_project_kgco2e,crushing_gwp_factor,0.024410038486532015,0.024410038486532015
9,demand_capacity_ratio_k,subgrade_k_pci,-1.0,1.0
10,total_present_worth,concrete_unit_cost,0.643524722711746,0.643524722711746
10,total_present_worth,stone_57_unit_cost,0.1534267203743307,0.1534267203743307
10,total_present_worth,rebar_unit_cost,0.7145892294401717,0.7145892294401717
10,total_present_worth,fiber_unit_cost,0.0035121794627168725,0.0035121794627168725
10,total_present_worth,demolition_cost,0.03840837200006735,0.03840837200006735
10,total_present_worth,crushing_cost,0.034611618093236644,0.034611618093236644
10,total_present_worth,recycled_aggregate_credit,-0.019997894975551156,0.019997894975551156
10,total_present_worth,discount_rate,-0.162385433246292,0.162385433246292
10,gwp_total_project_kgco2e,concrete_gwp_factor,0.9801345514978459,0.9801345514978459
10,gwp_total_project_kgco2e,stone_57_gwp_factor,0.015039438634143776,0.015039438634143776
10,gwp_total_project_kgco2e,rebar_gwp_factor,0.188645019543362,0.188645019543362
10,gwp_total_project_kgco2e,trucking_gwp_factor,0.04130470492589788,0.04130470492589788
10,gwp_total_project_kgco2e,demolition_gwp_factor,0.021986362573306547,0.021986362573306547
10,gwp_total_project_kgco2e,crushing_gwp_factor,0.024770946559412383,0.024770946559412383
10,demand_capacity_ratio_k,subgrade_k_pci,-1.0,1.0
11,total_present_worth,concrete_unit_cost,0.7192703583191001,0.7192703583191001
11,total_present_worth,stone_57_unit_cost,0.1688615221532726,0.1688615221532726
11,total_present_worth,rebar_unit_cost,0.6276230632765533,0.6276230632765533
11,total_present_worth,fiber_unit_cost,0.003038936719263575,0.003038936719263575
11,total_present_worth,demolition_cost,0.04244682116081873,0.04244682116081873
11,total_present_worth,crushing_cost,0.03741711887298285,0.03741711887298285
11,total_present_worth,recycled_aggregate_credit,-0.02413244199941298,0.02413244199941298
11,total_present_worth,discount_rate,-0.17934109953626465,0.17934109953626465
11,gwp_total_project_kgco2e,concrete_gwp_factor,0.9866714786442365,0.9866714786442365
11,gwp_total_project_kgco2e,stone_57_gwp_factor,0.01507640185495856,0.01507640185495856
11,gwp_total_project_kgco2e,rebar_gwp_factor,0.15398377187957754,0.15398377187957754
11,gwp_total_project_kgco2e,trucking_gwp_factor,0.03968992689017997,0.03968992689017997
11,gwp_total_project_kgco2e,demolition_gwp_factor,0.022106916874282772,0.022106916874282772
11,gwp_total_project_kgco2e,crushing_gwp_factor,0.025096789584150722,0.025096789584150722
11,demand_capacity_ratio_k,subgrade_k_pci,-1.0,1.0
12,total_present_worth,concrete_unit_cost,0.767192539627645,0.767192539627645
12,total_present_worth,stone_57_unit_cost,0.17831993897702397,0.17831993897702397
12,total_present_worth,rebar_unit_cost,0.5613242317112497,0.5613242317112497
12,total_present_worth,fiber_unit_cost,0.0026872869825789146,0.0026872869825789146
12,total_present_worth,demolition_cost,0.04495262060815705,0.04495262060815705
12,total_present_worth,crushing_cost,0.03908918306494767,0.03908918306494767
12,total_present_worth,recycled_aggregate_credit,-0.026786989543738798,0.026786989543738798
12,total_present_worth,discount_rate,-0.18978190164667336,0.18978190164667336
12,gwp_total_project_kgco2e,concrete_gwp_factor,0.9900328321282693,0.9900328321282693
12,gwp_total_project_kgco2e,stone_57_gwp_factor,0.015078990454639597,0.015078990454639597
12,gwp_total_project_kgco2e,rebar_gwp_factor,0.13240770785680311,0.13240770785680311
12,gwp_total_project_kgco2e,trucking_gwp_factor,0.03866288906688916,0.03866288906688916
12,gwp_total_project_kgco2e,demolition_gwp_factor,0.02216664588992266,0.02216664588992266
12,gwp_total_project_kgco2e,crushing_gwp_factor,0.02528736658323495,0.02528736658323495
12,demand_capacity_ratio_k,subgrade_k_pci,-1.0,1.0
13,total_present_worth,concrete_unit_cost,0.8901452391074822,0.8901452391074822
13,total_present_worth,stone_57_unit_cost,0.151852492667013,0.151852492667013
13,total_present_worth,rebar_unit_cost,0.33524723791496297,0.33524723791496297
13,total_present_worth,fiber_unit_cost,0.0014324345268449741,0.0014324345268449741
13,total_present_worth,demolition_cost,0.05189471366392588,0.05189471366392588
13,total_present_worth,crushing_cost,0.042855863854902344,0.042855863854902344
13,total_present_worth,recycled_aggregate_credit,-0.03392204193910482,0.03392204193910482
13,total_present_worth,discount_rate,-0.21796453190473913,0.21796453190473913
13,gwp_total_project_kgco2e,concrete_gwp_factor,0.9966394841559039,0.9966394841559039
