module,subbase_thickness_in,pavement_thickness_in,bar_size,bar_spacing_in,axle_load_kip,wheel_load_kip,tire_pressure_psi,subbase_material,k_eff_pci,radius_relative_stiffness_in,contact_radius_in,equivalent_resisting_radius_b_in,edge_stress_psi,Mu_kip_in_per_ft,As_per_ft_in2,effective_depth_in,a_in,Mn_kip_in_per_ft,phi_Mn_kip_in_per_ft,Mcr_kip_in_per_ft,demand_capacity_ratio,cracking_ratio,epsilon_t,reinforcement_directions,parking_lot_area_sf,roadway_area_sf,total_area_sf,concrete_volume_cy_total,subbase_volume_cy_total,class_a_lap_length_in,rebar_stock_length_ft,parking_lot_reinforcement_directions,roadway_reinforcement_directions,parking_lot_rebar_length_ft,roadway_rebar_length_ft,total_rebar_length_ft_with_laps,parking_lot_longitudinal_bar_count,parking_lot_transverse_bar_count,roadway_longitudinal_bar_count,roadway_transverse_bar_count,roadway_longitudinal_splices_per_bar,roadway_transverse_splices_per_bar,parking_lot_longitudinal_splices_per_bar,parking_lot_transverse_splices_per_bar,steel_weight_lb_total,steel_weight_ton_total,feasible,warnings,lca_functional_unit,lca_impact_methodology,lca_impact_category,lca_impact_unit,include_virgin_aggregate_credit,inventory_concrete_cy,inventory_concrete_m3,inventory_concrete_tons,inventory_57_stone_cy,inventory_57_stone_tons,inventory_reinforcing_steel_tons,inventory_tufstrand_dosage_lb_per_cy,inventory_tufstrand_lb,inventory_tufstrand_kg,haul_concrete_miles,haul_57_stone_miles,haul_crushed_concrete_miles,haul_rebar_nucor_to_hymmco_miles,haul_rebar_hymmco_to_project_miles,haul_rebar_miles,haul_fiber_miles,haul_concrete_ton_miles,haul_57_stone_ton_miles,haul_crushed_concrete_ton_miles,haul_rebar_nucor_to_hymmco_ton_miles,haul_rebar_hymmco_to_project_ton_miles,haul_rebar_ton_miles,haul_fiber_ton_miles,haul_total_ton_miles,haul_concrete_tkm,haul_57_stone_tkm,haul_crushed_concrete_tkm,haul_rebar_tkm,haul_total_tkm,gwp_concrete_kgco2e,gwp_57_stone_kgco2e,gwp_reinforcing_steel_kgco2e,gwp_tufstrand_sf_kgco2e,gwp_transport_kgco2e,gwp_construction_equipment_kgco2e,gwp_demolition_kgco2e,gwp_crushing_kgco2e,gwp_virgin_aggregate_credit_kgco2e,gwp_total_project_kgco2e,acidification_total_kgso2e,eutrophication_total_kgn,smog_total_kgo3e,fe3_psi,concrete_MR_psi,Re3_decimal,Re3_percent,tufstrand_dosage_lb_per_cy,Mn_FRC_kip_in_per_ft,Mtotal_FRC_kip_in_per_ft,phi_FRC,phi_Mtotal_FRC_kip_in_per_ft,fe3_psi_for_lcc_lca_mapping,fiber_quantity_note
SRC,4,6,#4,6,19.0,9.5,100.0,#57 stone,110.00000000000001,28.285316431310303,5.499039842323396,5.136027579968186,501.5483550550628,36.111481563964524,0.4000000000000001,2.75,0.5228758169934641,59.72549019607844,53.75294117647059,46.8,0.6718047566069127,0.771612853930866,0.010016953124999999,2.0,45000.0,41000.0,86000.0,1592.5925925925926,1061.7283950617284,26.83281572999748,40.0,2.0,1.0,189193.02579202416,88725.61814095205,277918.6439329762,301.0,601.0,41.0,0.0,51.0,0.0,7.0,3.0,189139.07712105327,94.56953856052664,True,,"one complete 86,000 SF pavement project meeting structural requirements",TRACI 2.1,"Climate change, acidification, eutrophication, smog",mixed TRACI units,False,1592.5925925925926,1217.6244034814815,3225.0,1061.7283950617284,1433.3333333333335,94.56953856052664,0.0,0.0,0.0,0.6725721784776904,19.783402429809907,19.783402429809907,236.01821611787162,19.339308438717886,255.3575245565895,0.0,2169.0452755905512,28356.210149394203,63801.47283613695,22320.13379014577,1828.9094751292494,24149.04326527502,0.0,118475.77152639671,3166.7453690944885,41399.27284423135,93148.36389952054,35256.92699409011,172971.30910693647,565370.3703703703,7166.666666666668,73266.42602622816,0.0,20140.881159487442,1592.5925925925926,4777.777777777777,4837.5,0.0,677152.2145931228,1692.8805364828072,121.88739862676212,2708.6088583724913,,,,,,,,,,,
SRC,4,6,#4,8,19.0,9.5,100.0,#57 stone,110.00000000000001,28.285316431310303,5.499039842323396,5.136027579968186,501.5483550550628,36.111481563964524,0.30000000000000004,2.75,0.39215686274509814,45.97058823529412,41.373529411764714,46.8,0.8728160753357458,0.771612853930866,0.014355937499999997,2.0,45000.0,41000.0,86000.0,1592.5925925925926,1061.7283950617284,26.83281572999748,40.0,2.0,1.0,142012.85951396188,67085.22347242717,209098.08298638905,226.0,451.0,31.0,0.0,51.0,0.0,7.0,3.0,142302.86203240367,71.15143101620184,True,,"one complete 86,000 SF pavement project meeting structural requirements",TRACI 2.1,"Climate change, acidification, eutrophication, smog",mixed TRACI units,False,1592.5925925925926,1217.6244034814815,3225.0,1061.7283950617284,1433.3333333333335,71.15143101620184,0.0,0.0,0.0,0.6725721784776904,19.783402429809907,19.783402429809907,236.01821611787162,19.339308438717886,255.3575245565895,0.0,2169.0452755905512,28356.210149394203,63801.47283613695,16793.03382267776,1376.0194702784859,18169.053292956247,0.0,112495.78155407794,3166.7453690944885,41399.27284423135,93148.36389952054,26526.30907422392,164240.69118707028,565370.3703703703,7166.666666666668,55123.57505976815,0.0,19124.28286419325,1592.5925925925926,4777.777777777777,4837.5,0.0,657992.7653313687,1644.9819133284218,118.43869775964636,2631.9710613254747,,,,,,,,,,,
SRC,4,6,#5,6,19.0,9.5,100.0,#57 stone,110.00000000000001,28.285316431310303,5.499039842323396,5.136027579968186,501.5483550550628,36.111481563964524,0.62,2.6875,0.8104575163398693,84.90049019607844,76.41044117647058,46.8,0.47259878372596675,0.771612853930866,0.005207169858870968,2.0,45000.0,41000.0,86000.0,1592.5925925925926,1061.7283950617284,33.54101966249685,40.0,2.0,1.0,191378.78224003024,89894.52267619007,281273.3049162203,301.0,601.0,41.0,0.0,51.0,0.0,7.0,3.0,296704.27094981854,148.35213547490926,True,,"one complete 86,000 SF pavement project meeting structural requirements",TRACI 2.1,"Climate change, acidification, eutrophication, smog",mixed TRACI units,False,1592.5925925925926,1217.6244034814815,3225.0,1061.7283950617284,1433.3333333333335,148.35213547490926,0.0,0.0,0.0,0.6725721784776904,19.783402429809907,19.783402429809907,236.01821611787162,19.339308438717886,255.3575245565895,0.0,2169.0452755905512,28356.210149394203,63801.47283613695,35013.8063720649,2869.027705491732,37882.83407755663,0.0,132209.56233867834,3166.7453690944885,41399.27284423135,93148.36389952054,55307.87703387851,193022.25914672491,565370.3703703703,7166.666666666668,114933.7400292893,0.0,22475.62559757532,1592.5925925925926,4777.777777777777,4837.5,0.0,721154.2730342719,1802.88568258568,129.80776914616894,2884.6170921370876,,,,,,,,,,,
SRC,4,6,#5,8,19.0,9.5,100.0,#57 stone,110.00000000000001,28.285316431310303,5.499039842323396,5.136027579968186,501.5483550550628,36.111481563964524,0.46499999999999997,2.6875,0.6078431372549019,66.50183823529412,59.8516544117647,46.8,0.6033497639935964,0.771612853930866,0.007942893145161292,2.0,45000.0,41000.0,86000.0,1592.5925925925926,1061.7283950617284,33.54101966249685,40.0,2.0,1.0,143653.57439245237,67969.02934053396,211622.60373298632,226.0,451.0,31.0,0.0,51.0,0.0,7.0,3.0,223232.4549100043,111.61622745500216,True,,"one complete 86,000 SF pavement project meeting structural requirements",TRACI 2.1,"Climate change, acidification, eutrophication, smog",mixed TRACI units,False,1592.5925925925926,1217.6244034814815,3225.0,1061.7283950617284,1433.3333333333335,111.61622745500216,0.0,0.0,0.0,0.6725721784776904,19.783402429809907,19.783402429809907,236.01821611787162,19.339308438717886,255.3575245565895,0.0,2169.0452755905512,28356.210149394203,63801.47283613695,26343.462893736214,2158.5806495183783,28502.043543254593,0.0,122828.77180437629,3166.7453690944885,41399.27284423135,93148.36389952054,41612.1855159325,179326.56762877887,565370.3703703703,7166.666666666668,86473.10959357856,0.0,20880.89120674397,1592.5925925925926,4777.777777777777,4837.5,0.0,691098.9082077298,1727.7472705193245,124.39780347739138,2764.395632830919,,,,,,,,,,,
SRC,4,6,#5,10,19.0,9.5,100.0,#57 stone,110.00000000000001,28.285316431310303,5.499039842323396,5.136027579968186,501.5483550550628,36.111481563964524,0.372,2.6875,0.48627450980392156,54.558176470588236,49.102358823529414,46.8,0.73543272521279,0.771612853930866,0.010678616431451614,2.0,45000.0,41000.0,86000.0,1592.5925925925926,1061.7283950617284,33.54101966249685,40.0,2.0,1.0,115018.44968390564,54813.733339140286,169832.18302304592,181.0,361.0,25.0,0.0,51.0,0.0,7.0,3.0,179149.36528611582,89.57468264305791,True,,"one complete 86,000 SF pavement project meeting structural requirements",TRACI 2.1,"Climate change, acidification, eutrophication, smog",mixed TRACI units,False,1592.5925925925926,1217.6244034814815,3225.0,1061.7283950617284,1433.3333333333335,89.57468264305791,0.0,0.0,0.0,0.6725721784776904,19.783402429809907,19.783402429809907,236.01821611787162,19.339308438717886,255.3575245565895,0.0,2169.0452755905512,28356.210149394203,63801.47283613695,21141.256806739006,1732.3124159343665,22873.569222673374,0.0,117200.29748379506,3166.7453690944885,41399.27284423135,93148.36389952054,33394.77060516489,171109.15271801126,565370.3703703703,7166.666666666668,69396.7313321521,0.0,19924.050572245163,1592.5925925925926,4777.777777777777,4837.5,0.0,673065.6893118046,1682.6642232795116,121.15182407612484,2692.2627572472184,,,,,,,,,,,
SRC,4,6,#5,12,19.0,9.5,100.0,#57 stone,110.00000000000001,28.285316431310303,5.499039842323396,5.136027579968186,501.5483550550628,36.111481563964524,0.31,2.6875,0.40522875816993464,46.2188725490196,41.596985294117644,46.8,0.8681273729005347,0.771612853930866,0.013414339717741934,2.0,45000.0,41000.0,86000.0,1592.5925925925926,1061.7283950617284,33.54101966249685,40.0,2.0,1.0,95928.36654487449,46043.53600487784,141971.90254975233,151.0,301.0,21.0,0.0,51.0,0.0,7.0,3.0,149760.63887019013,74.88031943509506,True,,"one complete 86,000 SF pavement project meeting structural requirements",TRACI 2.1,"Climate change, acidification, eutrophication, smog",mixed TRACI units,False,1592.5925925925926,1217.6244034814815,3225.0,1061.7283950617284,1433.3333333333335,74.88031943509506,0.0,0.0,0.0,0.6725721784776904,19.783402429809907,19.783402429809907,236.01821611787162,19.339308438717886,255.3575245565895,0.0,2169.0452755905512,28356.210149394203,63801.47283613695,17673.119415407527,1448.1335935450247,19121.253008952554,0.0,113447.98127007425,3166.7453690944885,41399.27284423135,93148.36389952054,27916.49399798648,165630.87611083285,565370.3703703703,7166.666666666668,58012.479157867805,0.0,19286.156815912622,1592.5925925925926,4777.777777777777,4837.5,0.0,661043.5433811877,1652.6088584529693,118.98783780861379,2644.174173524751,,,,,,,,,,,
SRC,4,6,#6,6,19.0,9.5,100.0,#57 stone,110.00000000000001,28.285316431310303,5.499039842323396,5.136027579968186,501.5483550550628,36.111481563964524,0.88,2.625,1.1503267973856208,108.23137254901962,97.40823529411766,46.8,0.37072308573221063,0.771612853930866,0.0026478515625000007,2.0,45000.0,41000.0,86000.0,1592.5925925925926,1061.7283950617284,40.249223594996224,40.0,2.0,1.0,193564.53868803626,91063.42721142809,284627.9658994643,301.0,601.0,41.0,0.0,51.0,0.0,7.0,3.0,426151.31561058684,213.07565780529342,True,Section may not be tension-controlled; phi = 0.90 should be reviewed.,"one complete 86,000 SF pavement project meeting structural requirements",TRACI 2.1,"Climate change, acidification, eutrophication, smog",mixed TRACI units,False,1592.5925925925926,1217.6244034814815,3225.0,1061.7283950617284,1433.3333333333335,213.07565780529342,0.0,0.0,0.0,0.6725721784776904,19.783402429809907,19.783402429809907,236.01821611787162,19.339308438717886,255.3575245565895,0.0,2169.0452755905512,28356.210149394203,63801.47283613695,50289.7366533474,4120.7358670792755,54410.47252042667,0.0,148737.20078154837,3166.7453690944885,41399.27284423135,93148.36389952054,79437.76638659237,217152.14849943874,565370.3703703703,7166.666666666668,165077.3828254418,0.0,25285.324132863225,1592.5925925925926,4777.777777777777,4837.5,0.0,774107.6143657123,1935.2690359142807,139.33937058582822,3096.430457462849,,,,,,,,,,,
SRC,4,6,#6,8,19.0,9.5,100.0,#57 stone,110.00000000000001,28.285316431310303,5.499039842323396,5.136027579968186,501.5483550550628,36.111481563964524,0.66,2.625,0.8627450980392157,86.86764705882352,78.18088235294117,46.8,0.4618965721177488,0.771612853930866,0.00453046875,2.0,45000.0,41000.0,86000.0,1592.5925925925926,1061.7283950617284,40.249223594996224,40.0,2.0,1.0,145294.28927094283,68852.83520864075,214147.12447958358,226.0,451.0,31.0,0.0,51.0,0.0,7.0,3.0,320625.833595821,160.3129167979105,True,Section may not be tension-controlled; phi = 0.90 should be reviewed.,"one complete 86,000 SF pavement project meeting structural requirements",TRACI 2.1,"Climate change, acidification, eutrophication, smog",mixed TRACI units,False,1592.5925925925926,1217.6244034814815,3225.0,1061.7283950617284,1433.3333333333335,160.3129167979105,0.0,0.0,0.0,0.6725721784776904,19.783402429809907,19.783402429809907,236.01821611787162,19.339308438717886,255.3575245565895,0.0,2169.0452755905512,28356.210149394203,63801.47283613695,37836.76864329561,3100.340944665309,40937.10958796092,0.0,135263.8378490826,3166.7453690944885,41399.27284423135,93148.36389952054,59767.03375935448,197481.41587220083,565370.3703703703,7166.666666666668,124200.187908346,0.0,22994.852434344044,1592.5925925925926,4777.777777777777,4837.5,0.0,730939.9477500973,1827.349869375243,131.56919059501752,2923.759791000389,,,,,,,,,,,
SRC,4,6,#6,10,19.0,9.5,100.0,#57 stone,110.00000000000001,28.285316431310303,5.499039842323396,5.136027579968186,501.5483550550628,36.111481563964524,0.528,2.625,0.6901960784313725,72.22729411764705,65.00456470588234,46.8,0.5555222425894769,0.771612853930866,0.0064130859375,2.0,45000.0,41000.0,86000.0,1592.5925925925926,1061.7283950617284,40.249223594996224,40.0,2.0,1.0,116332.13962068676,55526.48000696835,171858.6196276551,181.0,361.0,25.0,0.0,51.0,0.0,7.0,3.0,257310.54438696138,128.6552721934807,True,,"one complete 86,000 SF pavement project meeting structural requirements",TRACI 2.1,"Climate change, acidification, eutrophication, smog",mixed TRACI units,False,1592.5925925925926,1217.6244034814815,3225.0,1061.7283950617284,1433.3333333333335,128.6552721934807,0.0,0.0,0.0,0.6725721784776904,19.783402429809907,19.783402429809907,236.01821611787162,19.339308438717886,255.3575245565895,0.0,2169.0452755905512,28356.210149394203,63801.47283613695,30364.987837264525,2488.1039912169276,32853.091828481454,0.0,127179.82008960315,3166.7453690944885,41399.27284423135,93148.36389952054,47964.59418301173,185678.9762958581,565370.3703703703,7166.666666666668,99673.87095808846,0.0,21620.569415232538,1592.5925925925926,4777.777777777777,4837.5,0.0,705039.3477807282,1762.5983694518206,126.9070826005311,2820.157391122913,,,,,,,,,,,
SRC,4,6,#6,12,19.0,9.5,100.0,#57 stone,110.00000000000001,28.285316431310303,5.499039842323396,5.136027579968186,501.5483550550628,36.111481563964524,0.44,2.625,0.5751633986928104,61.707843137254905,55.537058823529414,46.8,0.6502231542132936,0.771612853930866,0.008295703125000001,2.0,45000.0,41000.0,86000.0,1592.5925925925926,1061.7283950617284,40.249223594996224,40.0,2.0,1.0,97024.03985384939,46642.24320585341,143666.2830597028,151.0,301.0,21.0,0.0,51.0,0.0,7.0,3.0,215100.35158105503,107.55017579052752,True,,"one complete 86,000 SF pavement project meeting structural requirements",TRACI 2.1,"Climate change, acidification, eutrophication, smog",mixed TRACI units,False,1592.5925925925926,1217.6244034814815,3225.0,1061.7283950617284,1433.3333333333335,107.55017579052752,0.0,0.0,0.0,0.6725721784776904,19.783402429809907,19.783402429809907,236.01821611787162,19.339308438717886,255.3575245565895,0.0,2169.0452755905512,28356.210149394203,63801.47283613695,25383.80063324381,2079.9460222513408,27463.74665549515,0.0,121790.47491661685,3166.7453690944885,41399.27284423135,93148.36389952054,40096.30113211657,177810.68324496294,565370.3703703703,7166.666666666668,83322.99299125012,0.0,20704.380735824867,1592.5925925925926,4777.777777777777,4837.5,0.0,687772.2811344822,1719.4307028362057,123.79901060420681,2751.089124537929,,,,,,,,,,,
